student_id,age,gender,education_level,school_type,family_income,parent_education,previous_exam_score,previous_gpa,assignment_completion_rate,class_participation,study_hours_per_day,self_study_hours,private_tuition,study_consistency,study_environment,revision_frequency,practice_tests_completed,sleep_hours,daily_screen_time,physical_activity_hours,stress_level,internet_access,exam_difficulty,exam_preparation_days,questions_attempted,questions_correct,time_management_score,exam_anxiety_level,exam_score,performance_grade,pass_status,performance_level
STU_000001,20,Female,High School,Public,Middle,Unknown,78.36,2.95,65.18,Medium,4.94,2.63,0,Medium,Moderate,Rarely,8,6.31,3.8,0.93,10,1,Medium,27,95,86,79.0,9.39,90.4,A,Pass,High
STU_000002,17,Male,High School,Public,Middle,Unknown,73.4,2.89,76.53,Low,3.42,2.64,0,Medium,Moderate,Daily,10,6.81,4.04,0.21,8,1,Easy,4,100,86,87.17,6.31,86.21,A,Pass,High
STU_000003,18,Other,Undergraduate,Public,Middle,Master,82.76,3.35,70.39,Medium,1.06,0.83,0,Low,Moderate,Weekly,5,6.53,3.19,2.56,9,1,Easy,28,96,74,63.77,9.87,76.11,B,Pass,Medium
STU_000004,20,Male,High School,Public,Middle,High School,60.61,2.57,75.06,Low,7.89,5.51,0,Medium,Quiet,Weekly,8,6.6,5.12,2.3,10,1,Medium,16,97,77,59.51,9.68,79.74,B,Pass,Medium
STU_000005,16,Female,High School,Private,High,Bachelor,74.79,2.84,61.54,Medium,2.63,2.29,0,Medium,Noisy,Rarely,1,7.83,4.82,0.49,10,1,Medium,28,98,52,84.64,10.0,50.66,D,Pass,Low
STU_000006,18,Male,High School,Public,High,High School,67.68,2.78,65.46,Medium,3.18,1.67,1,Medium,Quiet,Daily,6,8.83,8.37,1.64,6,1,Hard,27,96,65,55.27,6.12,67.9,C,Pass,Medium
STU_000007,18,Male,High School,Charter,Middle,Unknown,78.84,3.0,70.92,Medium,3.35,2.11,0,Medium,Quiet,Weekly,6,7.16,2.59,0.71,10,1,Hard,12,98,54,86.15,9.46,53.86,D,Pass,Low
STU_000008,20,Female,Undergraduate,Private,Lower-Middle,Bachelor,90.79,3.63,72.83,High,5.51,4.33,0,Low,Quiet,Weekly,9,8.22,6.86,0.09,10,0,Easy,7,94,91,88.08,10.0,97.61,A,Pass,High
STU_000009,15,Male,Undergraduate,Public,Lower-Middle,Associate,61.28,2.43,70.12,High,2.42,1.65,1,High,Noisy,Weekly,7,6.55,5.99,1.51,10,1,Hard,14,94,35,70.21,8.34,34.44,F,Fail,Low
STU_000010,16,Female,Undergraduate,Public,Lower-Middle,Associate,61.33,2.72,61.53,Low,1.26,0.78,0,Medium,Noisy,Weekly,2,8.9,1.21,1.59,10,1,Hard,4,87,34,73.78,8.49,39.05,F,Fail,Low
STU_000011,20,Male,High School,Private,Middle,Doctorate,71.7,2.86,64.63,High,1.47,1.04,1,Low,Quiet,Daily,4,9.1,2.63,3.8,6,1,Medium,2,93,68,79.0,4.59,76.22,B,Pass,Medium
STU_000012,16,Male,High School,Public,Upper-Middle,Associate,94.04,3.85,65.89,Medium,2.85,2.02,0,Low,Moderate,Daily,3,6.77,6.03,0.17,10,1,Medium,3,94,74,89.89,10.0,77.19,B,Pass,Medium
STU_000013,16,Female,Undergraduate,Public,Middle,Associate,77.31,3.14,61.22,Low,3.64,3.15,1,High,Moderate,Weekly,5,7.51,4.54,6.04,10,1,Easy,11,98,62,63.69,9.32,60.24,D,Pass,Medium
